Datetime;Price;Source;Tag;Note;Link
2022-04-20 00:00:00;0.5;wwipl;;;
2022-07-28 00:00:00;0.2;wwipl;;;
2022-07-28 00:00:00;0.05;wwipl;;;
2022-07-28 00:00:00;0.06;wwipl;;;
2022-08-03 00:00:00;0.005;wwipl;;;
2022-08-05 00:00:00;0.05;wwipl;;;
2022-08-05 00:00:00;0.04;wwipl;;;
2022-08-05 00:00:00;0.05;wwipl;;;
2022-08-07 00:00:00;0.051;wwipl;;;
2022-10-01 00:00:00;0.05;wwipl;;;
2025-04-18 00:00:00;0.06;wwipl;;;
2025-04-19 00:00:00;0.07;wwipl;;;
2025-04-20 00:00:00;0.08;wwipl;;;
2025-04-21 00:00:00;0.09;wwipl;;;
2025-04-22 00:00:00;0.1;wwipl;;;
2025-04-23 00:00:00;0.11;wwipl;;;
2025-04-24 00:00:00;0.12;wwipl;;;
2025-04-25 00:00:00;0.13;wwipl;;;
2025-04-26 00:00:00;0.14;wwipl;;;
2025-04-27 00:00:00;0.15;wwipl;;;
2025-04-28 00:00:00;0.16;wwipl;;;
2025-04-29 00:00:00;0.17;wwipl;;;
2025-04-30 00:00:00;0.18;wwipl;;;
2025-05-02 00:00:00;0.19;wwipl;;;
2025-05-03 00:00:00;0.2;wwipl;;;
2025-05-04 00:00:00;0.21;wwipl;;;
2025-05-05 00:00:00;0.22;wwipl;;;
2025-05-06 00:00:00;0.23;wwipl;;;
2025-05-08 00:00:00;0.24;wwipl;;;
2025-05-09 00:00:00;0.25;wwipl;;;
